Seed,index,X_b,Q,t,X,F,errF
400,1,0.8,3.5,-0.3,5.73767,0.00774285,0.00115138
400,1,0.2,4,-0.3,-0.147622,0.179517,0.019123
400,1,0.2,4,-0.3,1.16741,0.140371,0.0167633
400,1,0.2,4,-0.3,2.27313,0.0723572,0.0085116
400,1,0.2,4,-0.3,3.28716,0.0498085,0.00490014
400,1,0.2,4,-0.3,4.16189,0.0803746,0.00793513
400,1,0.2,4,-0.3,5.2628,0.148834,0.0161232
400,1,0.2,4,-0.3,5.73767,0.170645,0.0190706
400,1,0.4,4,-0.3,-0.147622,0.0426185,0.00406422
400,1,0.4,4,-0.3,1.16741,0.0333249,0.00498827
400,1,0.4,4,-0.3,2.27313,0.0171781,0.0024419
400,1,0.4,4,-0.3,3.28716,0.0118249,0.000721946
400,1,0.4,4,-0.3,4.16189,0.0190815,0.00119289
400,1,0.4,4,-0.3,5.2628,0.0353341,0.00363827
400,1,0.4,4,-0.3,5.73767,0.0405123,0.00475602
400,1,0.6,4,-0.3,-0.147622,0.017428,0.00129326
400,1,0.6,4,-0.3,1.16741,0.0136275,0.00282156
400,1,0.6,4,-0.3,2.27313,0.00702462,0.00132502
400,1,0.6,4,-0.3,3.28716,0.00483553,4.68793E-05
400,1,0.6,4,-0.3,4.16189,0.00780297,4.77488E-05
400,1,0.6,4,-0.3,5.2628,0.0144492,0.00134092
400,1,0.6,4,-0.3,5.73767,0.0165667,0.002122
400,1,0.8,4,-0.3,-0.147622,0.00877276,0.000341185
400,1,0.8,4,-0.3,1.16741,0.00685973,0.0020771
400,1,0.8,4,-0.3,2.27313,0.003536,0.000941268
400,1,0.8,4,-0.3,3.28716,0.00243408,0.000311039
400,1,0.8,4,-0.3,4.16189,0.0039278,0.000474017
400,1,0.8,4,-0.3,5.2628,0.00727332,0.000551577
400,1,0.8,4,-0.3,5.73767,0.00833921,0.00121698
400,1,0.2,4.5,-0.3,-0.147622,0.180176,0.0191956
400,1,0.2,4.5,-0.3,1.16741,0.140886,0.01682
400,1,0.2,4.5,-0.3,2.27313,0.0726229,0.00854083
400,1,0.2,4.5,-0.3,3.28716,0.0499914,0.00492027
400,1,0.2,4.5,-0.3,4.16189,0.0806698,0.00796761
400,1,0.2,4.5,-0.3,5.2628,0.149381,0.0161834
